Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"C2"	"C1206"	"21.97mm"	"58.8mm"	"21.97mm"	"58.8mm"	"21.97mm"	"57.2mm"	"T"	"90"	"22u"
"C4"	"C1206"	"18.16mm"	"34.42mm"	"18.16mm"	"34.42mm"	"18.16mm"	"36.01mm"	"T"	"270"	"100nF"
"D1"	"DO-214AC"	"13.34mm"	"65.53mm"	"13.34mm"	"65.53mm"	"13.34mm"	"63.51mm"	"T"	"270"	"ES2DA"
"D2"	"SOD-123_L2.7-W1.6-LS3.7-RD"	"67.69mm"	"68.2mm"	"67.69mm"	"68.2mm"	"66.06mm"	"68.2mm"	"T"	"0"	"BZT52C13_C571375"
"D3"	"SOD-123FL_L2.8-W1.8-LS3.7-RD"	"67.82mm"	"61.98mm"	"67.82mm"	"61.98mm"	"66.22mm"	"61.98mm"	"T"	"0"	"1N4001_C2892326"
"D5"	"SOD-123FL_L2.8-W1.8-LS3.7-RD"	"56.52mm"	"47.63mm"	"56.52mm"	"47.63mm"	"56.52mm"	"49.23mm"	"T"	"270"	"1N4001_C2892326"
"D6"	"SOD-123_L2.7-W1.6-LS3.7-RD"	"61.25mm"	"50.8mm"	"61.25mm"	"50.8mm"	"59.61mm"	"50.8mm"	"T"	"0"	"BZT52C13_C571375"
"I2CA"	"HDR-TH_4P-P2.54-V-F"	"20.57mm"	"49.02mm"	"20.57mm"	"49.02mm"	"20.57mm"	"45.21mm"	"T"	"90"	"I2Ca"
"I2CB"	"HDR-TH_4P-P2.54-V-F"	"86.87mm"	"66.55mm"	"86.87mm"	"66.55mm"	"86.87mm"	"70.36mm"	"T"	"270"	"I2Cb"
"Q1"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"54.1mm"	"64.52mm"	"54.1mm"	"64.52mm"	"55.1mm"	"63.57mm"	"T"	"0"	"MMBT2222ALT3G"
"Q2"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"60.2mm"	"58.8mm"	"60.2mm"	"58.8mm"	"61.2mm"	"57.85mm"	"T"	"0"	"MMBT2222ALT3G"
"Q3"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"54.36mm"	"59.18mm"	"54.36mm"	"59.18mm"	"55.36mm"	"58.23mm"	"T"	"0"	"MMBT2222ALT3G"
"Q4"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"60.45mm"	"64.39mm"	"60.45mm"	"64.39mm"	"61.45mm"	"63.44mm"	"T"	"0"	"MMBT2222ALT3G"
"R1"	"R1206"	"61.47mm"	"45.59mm"	"61.47mm"	"45.59mm"	"59.99mm"	"45.59mm"	"T"	"0"	"100Ω"
"R2"	"R1206"	"68.83mm"	"46.74mm"	"68.83mm"	"46.74mm"	"67.36mm"	"46.74mm"	"T"	"0"	"5.11kΩ"
"R3"	"R1206"	"29.97mm"	"48.77mm"	"29.97mm"	"48.77mm"	"29.97mm"	"50.25mm"	"T"	"270"	"10kΩ"
"R4"	"R1206"	"65.91mm"	"41.15mm"	"65.91mm"	"41.15mm"	"64.43mm"	"41.15mm"	"T"	"0"	"1kΩ"
"R5"	"R1206"	"71.88mm"	"65.15mm"	"71.88mm"	"65.15mm"	"71.88mm"	"63.67mm"	"T"	"90"	"1kΩ"
"R6"	"R1206"	"75.69mm"	"60.2mm"	"75.69mm"	"60.2mm"	"74.21mm"	"60.2mm"	"T"	"0"	"5.11kΩ"
"R7"	"R1206"	"69.09mm"	"55.5mm"	"69.09mm"	"55.5mm"	"67.61mm"	"55.5mm"	"T"	"0"	"22kΩ"
"R8"	"R1206"	"69.09mm"	"50.55mm"	"69.09mm"	"50.55mm"	"67.61mm"	"50.55mm"	"T"	"0"	"1kΩ"
"R9"	"R1206"	"55.12mm"	"53.09mm"	"55.12mm"	"53.09mm"	"53.64mm"	"53.09mm"	"T"	"0"	"200Ω"
"R10"	"R1206"	"52.83mm"	"42.42mm"	"52.83mm"	"42.42mm"	"51.35mm"	"42.42mm"	"T"	"0"	"22kΩ"
"R11"	"R1206"	"54.36mm"	"68.96mm"	"54.36mm"	"68.96mm"	"52.88mm"	"68.96mm"	"T"	"0"	"10kΩ"
"R12"	"R1206"	"37.34mm"	"49.15mm"	"37.34mm"	"49.15mm"	"37.34mm"	"47.67mm"	"T"	"90"	"10kΩ"
"R13"	"R1206"	"-0.76mm"	"33.15mm"	"-0.76mm"	"33.15mm"	"-0.76mm"	"31.67mm"	"T"	"90"	"10kΩ"
"R14"	"R1206"	"27.43mm"	"58.42mm"	"27.43mm"	"58.42mm"	"27.43mm"	"56.94mm"	"T"	"90"	"10kΩ"
"U1"	"SOP-4_L6.5-W4.6-P2.54-LS10.2-BL"	"43.82mm"	"63.88mm"	"43.82mm"	"63.88mm"	"42.55mm"	"58.98mm"	"T"	"0"	"PC817B_C2936042"
"U2"	"PWRM-TH_K78XX-500R3"	"24.77mm"	"68.45mm"	"24.77mm"	"68.45mm"	"27.31mm"	"68.45mm"	"T"	"0"	"K7803-500R3_C909766"
"U3"	"CONN-TH_DB125-2.54-2P-GN"	"1.02mm"	"69.47mm"	"1.02mm"	"69.47mm"	"1.02mm"	"68.2mm"	"T"	"90"	"DB125-2.54-2P-GN"
"U4"	"WIRELM-SMD_ESP-12F"	"5.08mm"	"48.13mm"	"5.08mm"	"48.13mm"	"-2.67mm"	"40.38mm"	"T"	"90"	"ESP-12F"
"U5"	"SOP-4_L6.5-W4.6-P2.54-LS10.2-BL"	"35.81mm"	"63.75mm"	"35.81mm"	"63.75mm"	"34.54mm"	"58.85mm"	"T"	"0"	"PC817B_C2936042"
"U6"	"USB-C-SMD_G-SWITCH_GT-USB-7010ASV"	"87.25mm"	"34.04mm"	"87.25mm"	"34.04mm"	"85.47mm"	"29.72mm"	"T"	"90"	"GT-USB-7010ASV"
"U7"	"TO-252_L6.5-W6.1-P4.58-LS9.9-BR"	"8.76mm"	"34.29mm"	"8.76mm"	"34.29mm"	"12.03mm"	"32mm"	"T"	"0"	"NCP1117DT33G"
"U8"	"SOP-16_L10.0-W3.9-P1.27-LS6.0-BL"	"46.1mm"	"49.91mm"	"46.1mm"	"49.91mm"	"41.66mm"	"47.04mm"	"T"	"0"	"CH340C_C7464026"
